after,before,total,deadass,def,defo,periodt,periot,stan,thot
1210,1200,1225,0,2,2,0,0,3,0
1200,1190,1737,0,1,1,0,0,0,0
1190,1180,1155,0,0,0,0,0,0,0
1180,1170,1458,0,0,1,0,0,0,0
1170,1160,1182,0,0,2,0,0,0,0
1160,1150,1112,0,0,1,0,0,0,0
1150,1140,1266,0,3,1,0,0,0,0
1140,1130,1167,0,0,1,0,0,0,0
1130,1120,1053,0,0,1,0,0,0,0
1120,1110,1313,0,1,3,0,0,0,0
1110,1100,1155,0,1,1,0,0,0,0
1100,1090,1393,0,1,1,0,0,3,0
1090,1080,1341,0,0,1,0,0,0,0
1080,1070,1351,0,0,0,0,0,1,0
1070,1060,1214,0,0,1,0,0,0,0
1060,1050,1262,0,2,0,0,0,0,0
1050,1040,1307,0,2,0,0,0,0,0
1040,1030,1348,0,1,3,0,0,0,0
1030,1020,1291,0,2,0,0,0,2,0
1020,1010,1370,0,0,2,0,0,0,0
1010,1000,1419,0,3,1,0,0,0,0
1000,990,1362,0,0,2,0,0,0,0
990,980,1228,0,0,1,0,0,0,0
980,970,1820,0,1,2,0,0,0,0
970,960,1559,0,0,1,0,0,0,0
960,950,1490,0,3,1,0,0,0,0
950,940,1477,0,1,3,0,0,0,0
940,930,1582,0,0,0,0,0,0,0
930,920,1440,0,3,2,0,0,1,0
920,910,1486,0,3,0,0,0,0,0
910,900,1432,0,3,1,0,0,0,0
900,890,1404,0,0,1,0,0,0,0
890,880,1585,0,0,0,0,0,0,0
880,870,1489,0,0,1,0,0,0,0
870,860,1307,0,1,0,0,0,0,0
860,850,1302,0,0,0,0,0,0,0
850,840,1429,0,1,1,0,0,0,0
840,830,1377,0,0,1,0,0,1,0
830,820,1421,0,1,0,0,0,0,0
820,810,1463,0,5,3,0,0,0,0
810,800,1305,0,0,2,0,0,0,0
800,790,1684,0,1,1,0,0,0,0
790,780,1530,0,1,0,0,0,0,0
780,770,1737,0,0,3,0,0,0,0
770,760,1592,0,3,2,0,0,0,0
