mid,after,before,total,deadass,def,defo,periodt,periot,stan,thot,total-avg,deadass-avg,def-avg,defo-avg,periodt-avg,periot-avg,stan-avg,thot-avg
445.0,450,440,18232,0,56,2,0,0,5,3,,,,,,,,
435.0,440,430,18464,0,52,1,0,0,8,3,,,,,,,,
425.0,430,420,18918,0,44,3,0,0,2,2,18168.6,0.6,52.0,2.6,0.0,0.0,3.2,3.4
415.0,420,410,18086,1,53,2,0,0,1,1,17982.6,0.6,49.6,3.2,0.0,0.0,2.8,3.4
405.0,410,400,17143,2,55,5,0,0,0,8,17800.8,1.0,47.8,3.6,0.0,0.0,1.6,5.0
395.0,400,390,17302,0,44,5,0,0,3,3,17450.0,1.4,46.8,3.4,0.0,0.0,1.6,4.6
385.0,390,380,17555,2,43,3,0,0,2,11,,,,,,,,
375.0,380,370,17164,2,39,2,0,0,2,0,,,,,,,,
