,text
33,"Jeez I can't imagine that customer's thought process. It's like at a clothing store ""oh can I buy your underwear since the store doesn't have my size?"""
34,"""But what am I going to do with the other 999 units that I don't want?""

&amp;#x200B;

""I dunno, maybe open a store and sell them at cost price."""
35,I hope the return was denied for being a biohazard. 
36,"Don't see a reason why you would get in trouble. You did not bring the conversation to hand, you were polite and she kicked off and began yelling and hurling insults. Fully within your rights (and most shops would encourage) removing a disturbance."
37,[testing allergies you say?](http://archive.is/sgat4) TW: dead kid story
38,I would have been fired that day.
39,"The all-time favorite:

Customer brings up a $9.99 item.

""All right sir, it's going to be $10.69.""

*Genuinely angry* ""Woah woah woah there son...the tag on the shelf said $9.99!""

HOW THE HELL HAVE YOU SURVIVED TO MIDDLE AGE WITHOUT UNDERSTANDING THAT TAXES ARE A THING?!?!

Edit: I know most other countries include tax on the listed price, but the fellow in question (I saw this a few times, but the first instance stuck out the most to me because I was taken aback by it) had a *very* strong regional accent (I was living in the US northeast at the time), so he had been in the area for a number of years at least "
40,"Thanks. Happened over 6 years ago and life has definitely improved. Unfortunately, still at the same job but thankfully never see that customer anymore. Haha."
41,I think you meant 🤢
42,"Only 50k?  Hell, I'd be demanding at least twice that.  Going to need at least some to cover the cost of a new ring, and may as well set myself up with a nice little nest egg to invest for retirement while I'm at it."
43,"Aww, that's a good thing you did. "
44,"Pretty accurate, to be honest..."
45,She wanted to see the policy for why you wouldn't take another stores coupon? God people are out of there minds.
46,Not always right https://notalwaysright.com/getting-that-purse-was-a-steal/65547/
47,That really sucks and I’m so sorry those customers felt your family emergency was not important. I’m glad you did get to see her before she passed. 
